Accession,Treatment,AT,Tleaf,Average of A,Average of Ci,Average of gsw,Average of PhiPS2,PAR,vcmax_ref,jmax_ref,t_ref
CAF006,H,CAF006_H,10,23.89136197,283.01596,0.491896879,0.152795499,1500,132.2435317,253.026361,25
CAF006,H,CAF006_H,15,29.49253718,328.4635037,0.781771442,0.195741952,1500,132.2435317,253.026361,25
CAF006,H,CAF006_H,20,35.27327257,270.8625172,0.53410106,0.282330148,1500,132.2435317,253.026361,25
CAF006,H,CAF006_H,25,40.10932213,279.7768011,0.649064079,0.342177533,1500,132.2435317,253.026361,25
CAF006,H,CAF006_H,30,40.49193464,273.2166878,0.61843465,0.388002414,1500,132.2435317,253.026361,25
CAF006,H,CAF006_H,35,34.73329252,304.3962352,0.831776164,0.380578873,1500,132.2435317,253.026361,25
CAF006,H,CAF006_H,40,22.70544994,316.1144696,0.695220588,0.282799704,1500,132.2435317,253.026361,25
CAF006,H,CAF006_H,45,-2.43092236,368.0044887,0.575444749,0.081464664,1500,132.2435317,253.026361,25
CAF006,L,CAF006_L,10,23.65898499,303.2196407,0.453733259,0.179785429,1500,54.83575156,165.3742024,15
CAF006,L,CAF006_L,15,27.51370436,311.5426428,0.589645081,0.22007746,1500,54.83575156,165.3742024,15
CAF006,L,CAF006_L,20,28.4099667,297.285781,0.556570092,0.282376824,1500,54.83575156,165.3742024,15
CAF006,L,CAF006_L,25,25.90407167,279.765757,0.414509023,0.311800702,1500,54.83575156,165.3742024,15
CAF006,L,CAF006_L,30,22.47883535,260.9895592,0.320800872,0.343251266,1500,54.83575156,165.3742024,15
CAF006,L,CAF006_L,35,19.08303862,321.8118627,0.531530492,0.269346126,1500,54.83575156,165.3742024,15
CAF006,L,CAF006_L,40,6.925126891,350.9615271,0.475983843,0.179381959,1500,54.83575156,165.3742024,15
CAF006,L,CAF006_L,45,-13.36533892,413.2528327,0.456310887,0.053770073,1500,54.83575156,165.3742024,15
CAF0216,H,CAF0216_H,10,15.40067346,341.1493122,0.510265867,0.087625079,1500,124.5904112,228.0694,25
CAF0216,H,CAF0216_H,15,19.22638486,351.5842696,0.86606782,0.117616647,1500,124.5904112,228.0694,25
CAF0216,H,CAF0216_H,20,22.55784624,304.7945558,0.440117979,0.162759118,1500,124.5904112,228.0694,25
CAF0216,H,CAF0216_H,25,25.22995288,324.2406957,0.829370573,0.209689945,1500,124.5904112,228.0694,25
CAF0216,H,CAF0216_H,30,25.20293797,298.2324103,0.58149099,0.250264341,1500,124.5904112,228.0694,25
CAF0216,H,CAF0216_H,35,22.36153369,322.8501271,0.709824863,0.241643081,1500,124.5904112,228.0694,25
CAF0216,H,CAF0216_H,40,17.78284022,328.130994,0.644567473,0.233818966,1500,124.5904112,228.0694,25
CAF0216,H,CAF0216_H,45,-1.21303303,372.2358102,0.898007031,0.081655029,1500,124.5904112,228.0694,25
CAF0216,L,CAF0216_L,10,26.64495398,308.4194957,0.531443102,0.17803286,1500,60.6792096,171.2170054,15
CAF0216,L,CAF0216_L,15,31.70240145,312.4348472,0.698591962,0.227085077,1500,60.6792096,171.2170054,15
CAF0216,L,CAF0216_L,20,36.97436883,302.7198082,0.762077547,0.304991498,1500,60.6792096,171.2170054,15
CAF0216,L,CAF0216_L,25,32.52783248,269.8083828,0.53724756,0.348435182,1500,60.6792096,171.2170054,15
CAF0216,L,CAF0216_L,30,30.25819567,262.3074019,0.415869183,0.383442116,1500,60.6792096,171.2170054,15
CAF0216,L,CAF0216_L,35,26.51500403,287.618074,0.498917767,0.327217549,1500,60.6792096,171.2170054,15
CAF0216,L,CAF0216_L,40,15.88690903,307.7320546,0.428593643,0.236203893,1500,60.6792096,171.2170054,15
CAF0216,L,CAF0216_L,45,-6.77263452,386.2221705,0.448232414,0.063209592,1500,60.6792096,171.2170054,15
