ID,a,m1,m2,s1,s2,a_A,m1_A,m2_A,s1_A,s2_A,Vcmax25_1,Jmax25_1,Citransition_1,Rd_1,Vcmax25_8,Jmax25_8,Citransition_8,Rd_8
CAF006_H,0.42137,15.66666,41.51607,14.9844,5.46063,110,36.24968,42.5584,46.88487,10.72582,132.2435313,253.0263604,357.7954214,0.092567642,135.5304044,275.9902667,393.502366,0.005384244
CAF006_L,0.9,30.40479,40.50607,31.70504,12.96706,55.65325,50,41.55626,956.04363,8.38152,175.5565795,282.0657625,537.2506225,2.200298864,173.7544574,260.8083942,417.7373353,1.524920141
CAF0216_H,0.23575,14.87799,43.73862,12.05709,2.69572,110,66.03853,49.10865,69.80723,14.65189,124.5904104,228.0693989,338.37662,-0.12980042,88.33994047,177.1547733,505.0570489,0.579998276
CAF0216_L,0.39334,12.98203,40.10408,13.31605,6.49416,110,65.96869,45.17593,122.85961,12.33601,193.3053956,291.3255332,410.1628834,1.573778511,198.3825075,296.3556365,396.8196689,1.385578492
