"","elevation_m","ca_ppm","temperature_c","par","vcmax","jmax","phi_psii","e_partitioning_coef","absorbance","photosystem_partitioning_coef","theta","patm_pa","ca_pa","ci_pa","gammastar_pa","km_pa","mc","ac","m","psii_light","j_a","j_b","j_c","j","aj","a","phi_psii_tresp","jmax_tresp","ID"
"1",0,420,1,400,10.8977064073213,44.6540340286354,0.142652757857974,4,4,0.5,0.85,101325,42.5565,29.78955,1.13883361441901,9.23140183240511,0.734239300687378,8.00152433160799,0.893458143908272,170,0.85,-68.9050028644911,1082.90358762368,21.3264297380549,4.76356808248817,4.60010248637835,"yes","yes","CAF006_H"
"2",0,420,2,400,12.2138702214597,48.3505322821044,0.187475757857974,4,4,0.5,0.85,101325,42.5565,29.78955,1.20964338898343,10.0461184114395,0.717445137755223,8.76278180355956,0.887331225527749,170,0.85,-80.22141111796,1540.97395601208,26.8445979731701,5.95501250458319,5.77180445126129,"yes","yes","CAF006_H"
"3",0,420,3,400,13.6776445394363,52.3227103460361,0.230580757857974,4,4,0.5,0.85,101325,42.5565,29.78955,1.2842947409697,10.933383428413,0.699980400703201,9.5740831053906,0.880929982854559,170,0.85,-91.5214391818917,2050.98373481129,31.804163843341,7.0043103773045,6.79914570921295,"yes","yes","CAF006_H"
"4",0,420,4,400,15.3042652679238,56.5887150366735,0.271967757857974,4,4,0.5,0.85,101325,42.5565,29.78955,1.36296396890152,11.8998161930552,0.681866591577828,10.4354671948421,0.874247830078772,170,0.85,-102.823233872529,2616.35201125995,36.3951718057741,7.95459999413553,7.72503601511668,"yes","yes","CAF006_H"
"5",0,420,5,400,17.1103905846355,61.1676881045187,0.311636757857974,4,4,0.5,0.85,101325,42.5565,29.78955,1.44583386594446,12.9526494588767,0.663131904602281,11.3464458968783,0.867278458427788,170,0.85,-114.145936940374,3240.5570011152,40.763111870802,8.83824220600716,8.58158634723763,"yes","yes","CAF006_H"
"6",0,420,6,400,19.1142137509624,66.079793749239,0.349587757857974,4,4,0.5,0.85,101325,42.5565,29.78955,1.53309389216217,14.099785360796,0.643811437916597,12.3059494396523,0.860015875866867,170,0.85,-125.509712585095,3927.11677920735,45.0087692463423,9.6770640262707,9.39035082000627,"yes","yes","CAF006_H"
"7",0,420,7,400,21.3355804372965,71.3462384646725,0.385820757857974,4,4,0.5,0.85,101325,42.5565,29.78955,1.6249403490516,15.3498561698672,0.623947278902168,13.3122773576495,0.852454447786999,170,0.85,-136.935767300528,4679.56616510847,49.1975686427027,10.4846715524445,10.1646378458851,"yes","yes","CAF006_H"
"8",0,420,8,400,23.7961089813869,76.9892793465093,0.420335757857974,4,4,0.5,0.85,101325,42.5565,29.78955,1.72157655632546,16.7122902413954,0.603588445058756,14.363056418524,0.844588938448095,170,0.85,-148.446358182365,5501.42900377923,53.3691377501812,11.2687458495789,10.9118042148581,"yes","yes","CAF006_H"
"9",0,420,9,400,26.5193110619262,83.0322154442902,0.453132757857974,4,4,0.5,0.85,101325,42.5565,29.78955,1.82321303090796,18.1973835583231,0.582790666027907,15.4552069563812,0.836414552917142,170,0.85,-160.064784280146,6396.18485180588,57.5445149585905,12.0327674379808,11.6349777720519,"yes","yes","CAF006_H"
"10",0,420,10,400,29.5307089167334,89.4993545988435,0.484211757857974,4,4,0.5,0.85,101325,42.5565,29.78955,1.93006766810897,19.8163772988046,0.561615997299629,16.5849185392363,0.827926979213242,170,0.85,-171.815353434699,7367.22876896824,61.7310612050486,12.7772027567809,12.3342421230299,"yes","yes","CAF006_H"
"11",0,420,11,400,32.8579432972686,96.4159452646349,0.513572757857974,4,4,0.5,0.85,101325,42.5565,29.78955,2.04236592493982,21.5815418854184,0.540132262264338,17.747635246507,0.81912243034486,170,0.85,-183.723314100491,8417.82249487715,65.9257368306202,13.5003124437433,13.0074432942843,"yes","yes","CAF006_H"
